time s,x m,c numerical mol m3,c reference mol m3,error signed mol m3,abs error mol m3
0.004,0.0,0.0,0.0015633008220465039,-0.0015633008220465039,0.0015633008220465039
0.004,0.1,0.0,0.008853017251976264,-0.008853017251976264,0.008853017251976264
0.004,0.2,0.07999999999999996,0.05614149846532432,0.02385850153467564,0.02385850153467564
0.004,0.30000000000000004,0.24,0.20574463296763928,0.034255367032360706,0.034255367032360706
0.004,0.4,0.42000000000000004,0.4430768511236524,-0.023076851123652375,0.023076851123652375
0.004,0.5,0.52,0.570804699560769,-0.05080469956076894,0.05080469956076894
0.004,0.6000000000000001,0.42000000000000004,0.44307685112365225,-0.02307685112365221,0.02307685112365221
0.004,0.7000000000000001,0.24,0.20574463296763917,0.03425536703236082,0.03425536703236082
0.004,0.8,0.07999999999999996,0.05614149846532418,0.02385850153467578,0.02385850153467578
0.004,0.9,0.0,0.008853017251976236,-0.008853017251976236,0.008853017251976236
0.004,1.0,0.0,0.0015633008220465039,-0.0015633008220465039,0.0015633008220465039
