time s,x m,c numerical mol m3,c reference mol m3,error signed mol m3,abs error mol m3
0.01,0.0,0.042997624669350025,0.04280046783565661,0.0001971568336934168,0.0001971568336934168
0.01,0.025,0.0444931123816988,0.04428050542827372,0.00021260695342507907,0.00021260695342507907
0.01,0.05,0.048984026608386674,0.048726841249012415,0.00025718535937425957,0.00025718535937425957
0.01,0.07500000000000001,0.056479906842189766,0.05615422771110265,0.0003256791310871157,0.0003256791310871157
0.01,0.1,0.06698432338143334,0.06657457222998253,0.0004097511514508101,0.0004097511514508101
0.01,0.125,0.08047770495666248,0.07997921498414017,0.0004984899725223174,0.0004984899725223174
0.01,0.15000000000000002,0.09689585794631923,0.09631664716668688,0.0005792107796323553,0.0005792107796323553
0.01,0.17500000000000002,0.11610654330015947,0.11546803628145429,0.0006385070187051867,0.0006385070187051867
0.01,0.2,0.137886866603552,0.1372233497583833,0.0006635168451687157,0.0006635168451687157
0.01,0.225,0.1619044033354937,0.16126108175962894,0.000643321575864747,0.000643321575864747
0.01,0.25,0.18770488102253488,0.18713453648444722,0.0005703445380876582,0.0005703445380876582
0.01,0.275,0.21470884602532433,0.21426726572188112,0.000441580303443212,0.000441580303443212
0.01,0.30000000000000004,0.24221905601459134,0.24195958781244215,0.00025946820214919897,0.00025946820214919897
0.01,0.325,0.26943939591847144,0.26940715690967576,3.223900879567587e-05,3.223900879567587e-05
0.01,0.35000000000000003,0.2955049896106057,0.2957313766965581,-0.00022638708595240642,0.00022638708595240642
0.01,0.375,0.3195219810821523,0.32002017465600896,-0.0004981935738566645,0.0004981935738566645
0.01,0.4,0.340614321061773,0.34137641632378846,-0.0007620952620154831,0.0007620952620154831
0.01,0.42500000000000004,0.3579739599004957,0.35897020187463413,-0.0009962419741384454,0.0009962419741384454
0.01,0.45,0.3709102448121535,0.3720905984032954,-0.0011803535911418805,0.0011803535911418805
0.01,0.47500000000000003,0.37889414625735196,0.38019213467320034,-0.0012979884158483834,0.0012979884158483834
0.01,0.5,0.3815932412079506,0.3829316799151507,-0.0013384387072001291,0.0013384387072001291
0.01,0.525,0.37889414625735196,0.38019213467320034,-0.0012979884158483834,0.0012979884158483834
0.01,0.55,0.3709102448121535,0.3720905984032954,-0.0011803535911418805,0.0011803535911418805
0.01,0.5750000000000001,0.3579739599004957,0.3589702018746341,-0.0009962419741383899,0.0009962419741383899
0.01,0.6000000000000001,0.340614321061773,0.34137641632378835,-0.000762095262015372,0.000762095262015372
0.01,0.625,0.3195219810821523,0.3200201746560089,-0.000498193573856609,0.000498193573856609
0.01,0.65,0.2955049896106057,0.295731376696558,-0.0002263870859523509,0.0002263870859523509
0.01,0.675,0.26943939591847144,0.2694071569096757,3.223900879573138e-05,3.223900879573138e-05
0.01,0.7000000000000001,0.24221905601459137,0.24195958781244203,0.00025946820214933775,0.00025946820214933775
0.01,0.7250000000000001,0.21470884602532433,0.21426726572188087,0.0004415803034434618,0.0004415803034434618
0.01,0.75,0.1877048810225349,0.18713453648444714,0.0005703445380877692,0.0005703445380877692
0.01,0.775,0.16190440333549372,0.1612610817596289,0.0006433215758648303,0.0006433215758648303
0.01,0.8,0.13788686660355204,0.13722334975838318,0.0006635168451688545,0.0006635168451688545
0.01,0.8250000000000001,0.1161065433001595,0.11546803628145419,0.0006385070187053116,0.0006385070187053116
0.01,0.8500000000000001,0.09689585794631925,0.09631664716668667,0.0005792107796325774,0.0005792107796325774
0.01,0.875,0.0804777049566625,0.0799792149841401,0.0004984899725224007,0.0004984899725224007
0.01,0.9,0.06698432338143336,0.06657457222998242,0.000409751151450935,0.000409751151450935
0.01,0.925,0.05647990684218977,0.05615422771110254,0.0003256791310872337,0.0003256791310872337
0.01,0.9500000000000001,0.04898402660838668,0.048726841249012304,0.00025718535937437753,0.00025718535937437753
0.01,0.9750000000000001,0.044493112381698806,0.04428050542827358,0.0002126069534252248,0.0002126069534252248
0.01,1.0,0.04299762466935003,0.0428004678356565,0.00019715683369353476,0.00019715683369353476
