time s,x m,c numerical mol m3,c reference mol m3,error signed mol m3,abs error mol m3
0.004,0.0,0.0015599589172605717,0.0015633008220465039,-3.3419047859321784e-06,3.3419047859321784e-06
0.004,0.003125,0.0015651331582327774,0.0015684758430541956,-3.3426848214182514e-06,3.3426848214182514e-06
0.004,0.00625,0.0015806778940854337,0.001584022898257459,-3.3450041720252226e-06,3.3450041720252226e-06
0.004,0.009375000000000001,0.001606659190887483,0.0016100079914811716,-3.3488005936885886e-06,3.3488005936885886e-06
0.004,0.0125,0.0016431872494296852,0.001646541219857689,-3.35397042800379e-06,3.35397042800379e-06
0.004,0.015625,0.001690416540561055,0.0016937769092865707,-3.36036872551561e-06,3.36036872551561e-06
0.004,0.018750000000000003,0.001748545993305511,0.0017519138027268788,-3.3678094213678185e-06,3.3678094213678185e-06
0.004,0.021875000000000002,0.0018178192344051418,0.0018211952999721837,-3.3760655670418433e-06,3.3760655670418433e-06
0.004,0.025,0.00189852487755091,0.001901909747170999,-3.3848696200889858e-06,3.3848696200889858e-06
0.004,0.028125,0.0019909968601769606,0.0019943907739751188,-3.393913798158208e-06,3.393913798158208e-06
0.004,0.03125,0.002095614825311269,0.002099017675812692,-3.4028505014232005e-06,3.4028505014232005e-06
0.004,0.034375,0.0022128045455935014,0.0022162158384033404,-3.4112928098389145e-06,3.4112928098389145e-06
0.004,0.037500000000000006,0.0023430383861910513,0.0023464572012519835,-3.418815060932199e-06,3.418815060932199e-06
0.004,0.040625,0.0024868358029667094,0.0024902607564828982,-3.4249535161888847e-06,3.4249535161888847e-06
0.004,0.043750000000000004,0.0026447638718768776,0.002648193078999578,-3.429207122700173e-06,3.429207122700173e-06
0.004,0.046875,0.002817437845208182,0.002820868883586569,-3.431038378387194e-06,3.431038378387194e-06
0.004,0.05,0.0030055217298935602,0.0030089516042021147,-3.42987430855448e-06,3.42987430855448e-06
0.004,0.053125000000000006,0.003209728882787034,0.0032131539903492157,-3.4251075621818602e-06,3.4251075621818602e-06
0.004,0.05625,0.0034308226174204126,0.003434238715058102,-3.4160976376896093e-06,3.4160976376896093e-06
0.004,0.059375000000000004,0.0036696168164159506,0.0036730189886604037,-3.4021722444530812e-06,3.4021722444530812e-06
0.004,0.0625,0.0039269765433876,0.0039303591721980835,-3.382628810483408e-06,3.382628810483408e-06
0.004,0.065625,0.004203818647831097,0.004207175383974998,-3.3567361439014107e-06,3.3567361439014107e-06
0.004,0.06875,0.004501112356180879,0.0045044360924367255,-3.3237362558466085e-06,3.3237362558466085e-06
0.004,0.07187500000000001,0.0048198798419011755,0.00482316268825414,-3.2828463529645593e-06,3.2828463529645593e-06
0.004,0.07500000000000001,0.0051611967671808204,0.005164430028187089,-3.2332610062687367e-06,3.2332610062687367e-06
0.004,0.078125,0.005526192788518094,0.005529366943020697,-3.1741545026033047e-06,3.1741545026033047e-06
0.004,0.08125,0.005916052018214639,0.005919156701599593,-3.1046833849539615e-06,3.1046833849539615e-06
0.004,0.084375,0.006332013433547995,0.006335037422734058,-3.0239891860624896e-06,3.0239891860624896e-06
0.004,0.08750000000000001,0.006775371225162302,0.006778302426521499,-2.931201359196965e-06,2.931201359196965e-06
0.004,0.09062500000000001,0.007247475076007944,0.007250300516417008,-2.825440409063955e-06,2.825440409063955e-06
0.004,0.09375,0.007749730361975431,0.0077524361831992905,-2.7058212238592963e-06,2.7058212238592963e-06
0.004,0.096875,0.00828359826520831,0.008286169721818892,-2.571456610582501e-06,2.571456610582501e-06
0.004,0.1,0.00885059579094654,0.008853017251976264,-2.4214610297237926e-06,2.4214610297237926e-06
0.004,0.10312500000000001,0.009452295678647438,0.009454550633176934,-2.2549545294955203e-06,2.2549545294955203e-06
0.004,0.10625000000000001,0.010090326198057992,0.01009239726493183,-2.0710668738373877e-06,2.0710668738373877e-06
0.004,0.109375,0.010766370820872168,0.010768239762731363,-1.8689418591951584e-06,1.8689418591951584e-06
0.004,0.1125,0.011482167758601584,0.011483815500414218,-1.647741812634343e-06,1.647741812634343e-06
0.004,0.115625,0.012239509357319798,0.012240916009581854,-1.406652262055802e-06,1.406652262055802e-06
0.004,0.11875000000000001,0.013040241340011163,0.013041386226778584,-1.1448867674214436e-06,1.1448867674214436e-06
0.004,0.12187500000000001,0.013886261887366688,0.013887123579267274,-8.616919005867418e-07,8.616919005867418e-07
0.004,0.125,0.014779520548023376,0.014780076900382078,-5.563523587017588e-07,5.563523587017588e-07
0.004,0.12812500000000002,0.015722016969441727,0.01572224516563725,-2.2819619552305603e-07,2.2819619552305603e-07
0.004,0.13125,0.01671579944086009,0.01671567604101104,1.2339984905088142e-07,1.2339984905088142e-07
0.004,0.134375,0.01776296324005572,0.017762464235116043,4.99004939678166e-07,4.99004939678166e-07
0.004,0.1375,0.018865648775982027,0.01886474964730181,8.991286802179088e-07,8.991286802179088e-07
0.004,0.140625,0.020026039519740774,0.0200247153041265,1.3242156142734274e-06,1.3242156142734274e-06
0.004,0.14375000000000002,0.0212463597167876,0.021244585077068834,1.7746397187670682e-06,1.7746397187670682e-06
0.004,0.146875,0.022528871873760205,0.022526621174844857,2.2506989153479873e-06,2.2506989153479873e-06
0.004,0.15000000000000002,0.023875874013861195,0.023873121404230285,2.7526096309099524e-06,2.7526096309099524e-06
0.004,0.153125,0.025289696695322043,0.025286416193887468,3.2805014345757555e-06,3.2805014345757555e-06
0.004,0.15625,0.026772699788121315,0.026768865376337853,3.834411783462666e-06,3.834411783462666e-06
0.004,0.15937500000000002,0.02832726900482844,0.028322854723918656,4.414280909782742e-06,4.414280909782742e-06
0.004,0.1625,0.029955812182193845,0.029950792235312218,5.01994688162713e-06,5.01994688162713e-06
0.004,0.16562500000000002,0.03166075531090594,0.03165510417003367,5.6511408722675904e-06,5.6511408722675904e-06
0.004,0.16875,0.033444538311784434,0.033438230829112264,6.307482672170128e-06,6.307482672170128e-06
0.004,0.171875,0.0353096105575763,0.03530262208109716,6.988476479140304e-06,6.988476479140304e-06
0.004,0.17500000000000002,0.037258426140463194,0.03725073263346218,7.693507001013677e-06,7.693507001013677e-06
0.004,0.178125,0.039293438886375855,0.03928501705046791,8.4218359079416e-06,8.4218359079416e-06
0.004,0.18125000000000002,0.041417097118239196,0.04140792451957234,9.172598666853937e-06,9.172598666853937e-06
0.004,0.184375,0.0436318381713384,0.04362189336954375,9.94480179464935e-06,9.94480179464935e-06
0.004,0.1875,0.04594008266509873,0.04592934534453591,1.073732056282306e-05,1.073732056282306e-05
0.004,0.19062500000000002,0.0483442285367068,0.04833267963952065,1.1548897186151874e-05,1.1548897186151874e-05
0.004,0.19375,0.050846644843163556,0.050834266703635,1.2378139528555765e-05,1.2378139528555765e-05
