time s,x m,c numerical mol m3,c reference mol m3,error signed mol m3,abs error mol m3
0.02,0.0,0.12343415284982229,0.12340508120671032,2.9071643111971968e-05,2.9071643111971968e-05
0.02,0.00625,0.1234919255461739,0.1234628699497044,2.9055596469498846e-05,2.9055596469498846e-05
0.02,0.0125,0.12366516229620753,0.12363615485402042,2.9007442187103938e-05,2.9007442187103938e-05
0.02,0.018750000000000003,0.1239536191606317,0.12392469202317084,2.8927137460860175e-05,2.8927137460860175e-05
0.02,0.025,0.12435688983337392,0.12432807522155473,2.8814611819194536e-05,2.8814611819194536e-05
0.02,0.03125,0.12487440603130255,0.12484573626288362,2.866976841893465e-05,2.866976841893465e-05
0.02,0.037500000000000006,0.12550543804103464,0.1254769455551878,2.849248584685382e-05,2.849248584685382e-05
0.02,0.043750000000000004,0.1262490954240091,0.12622081280359498,2.8282620414127324e-05,2.8282620414127324e-05
0.02,0.05,0.12710432788131795,0.12707628787239084,2.8040008927116e-05,2.8040008927116e-05
0.02,0.05625,0.12806992628008257,0.12804216180816755,2.7764471915020517e-05,2.7764471915020517e-05
0.02,0.0625,0.12914452384343497,0.1291170680261432,2.74558172917716e-05,2.74558172917716e-05
0.02,0.06875,0.13032659750641126,0.13029948366198635,2.7113844424914157e-05,2.7113844424914157e-05
0.02,0.07500000000000001,0.13161446944028313,0.1315877310916994,2.673834858371582e-05,2.673834858371582e-05
0.02,0.08125,0.13300630874803943,0.13297997962230557,2.632912573385937e-05,2.632912573385937e-05
0.02,0.08750000000000001,0.1345001333338813,0.13447424735623742,2.5885977643885782e-05,2.5885977643885782e-05
0.02,0.09375,0.1360938119497077,0.13606840323244018,2.5408717267527692e-05,2.5408717267527692e-05
0.02,0.1,0.13778506642164026,0.13776016924727863,2.489717436163219e-05,2.489717436163219e-05
0.02,0.10625000000000001,0.13957147405966822,0.13954712285836884,2.435120129937185e-05,2.435120129937185e-05
0.02,0.1125,0.14145047025347807,0.14142669957444193,2.3770679036139164e-05,2.3770679036139164e-05
0.02,0.11875000000000001,0.14341935125747293,0.14339619573428972,2.3155523183215898e-05,2.3155523183215898e-05
0.02,0.125,0.1454752771678781,0.14545277147773283,2.25056901452525e-05,2.25056901452525e-05
0.02,0.13125,0.14761527509467243,0.14759345391139816,2.182118327426208e-05,2.182118327426208e-05
0.02,0.1375,0.14983624253087954,0.1498151404718853,2.1102058994248996e-05,2.1102058994248996e-05
0.02,0.14375000000000002,0.15213495092149718,0.15211460248864736,2.0348432849814913e-05,2.0348432849814913e-05
0.02,0.15000000000000002,0.15450804943403812,0.1544884889486074,1.9560485430725194e-05,1.9560485430725194e-05
0.02,0.15625,0.15695206893230335,0.15693333046417546,1.873846812788793e-05,1.873846812788793e-05
0.02,0.1625,0.15946342615460465,0.15944554344593204,1.788270867261743e-05,1.788270867261743e-05
0.02,0.16875,0.16203842809720664,0.1620214344807902,1.6993616416438595e-05,1.6993616416438595e-05
0.02,0.17500000000000002,0.16467327660326259,0.16465720491595617,1.607168730641262e-05,1.607168730641262e-05
0.02,0.18125000000000002,0.16736407315698046,0.1673489556484666,1.5117508513851075e-05,1.5117508513851075e-05
0.02,0.1875,0.1701068238821768,0.17009269211949962,1.4131762677171977e-05,1.4131762677171977e-05
0.02,0.19375,0.17289744474375537,0.17288432951203658,1.3115231718791032e-05,1.3115231718791032e-05
0.02,0.2,0.17573176694999484,0.17571969814979288,1.2068800201964214e-05,1.2068800201964214e-05
0.02,0.20625000000000002,0.17860554255283917,0.1785945490946467,1.0993458192470884e-05,1.0993458192470884e-05
0.02,0.21250000000000002,0.18151445024266802,0.18150455993907263,9.890303595383454e-06,9.890303595383454e-06
0.02,0.21875,0.18445410133327933,0.18444534078934027,8.760543939057008e-06,8.760543939057008e-06
0.02,0.225,0.1874200459320498,0.18741244043446822,7.605497581580911e-06,7.605497581580911e-06
0.02,0.23125,0.19040777928945393,0.19040135269513497,6.426594318958978e-06,6.426594318958978e-06
0.02,0.23750000000000002,0.19341274832132366,0.19340752294594665,5.225375377004848e-06,5.225375377004848e-06
0.02,0.24375000000000002,0.1964303582964217,0.1964263548036486,4.003492773102524e-06,4.003492773102524e-06
0.02,0.25,0.19945597968108872,0.19945321697305077,2.7627080379510893e-06,2.7627080379510893e-06
0.02,0.25625000000000003,0.20248495513190992,0.20248345024161957,1.5048902903547212e-06,1.5048902903547212e-06
0.02,0.2625,0.20551260662653767,0.20551237461287428,2.320136633926495e-07,2.320136633926495e-07
0.02,0.26875,0.20853424272200685,0.2085352965679242,-1.0538459173370374e-06,1.0538459173370374e-06
0.02,0.275,0.2115451659290928,0.21154751644368966,-2.350514596849429e-06,2.350514596849429e-06
0.02,0.28125,0.21454068019049555,0.21454433591558217,-3.655725086620931e-06,3.655725086620931e-06
0.02,0.28750000000000003,0.21751609844989,0.2175210655716692,-4.9671217791924516e-06,4.9671217791924516e-06
0.02,0.29375,0.2204667502981676,0.22047303256463152,-6.282266463930597e-06,6.282266463930597e-06
0.02,0.30000000000000004,0.22338798968251267,0.22339558832713616,-7.598644623491024e-06,7.598644623491024e-06
0.02,0.30625,0.22627520266331358,0.22628411633559875,-8.913672285171259e-06,8.913672285171259e-06
0.02,0.3125,0.22912381520330635,0.2291340399067054,-1.0224703399036583e-05,1.0224703399036583e-05
0.02,0.31875000000000003,0.2319293009727933,0.2319408300105043,-1.1529037711011103e-05,1.1529037711011103e-05
0.02,0.325,0.23468718915427408,0.23470001308336896,-1.2823929094879505e-05,1.2823929094879505e-05
0.02,0.33125000000000004,0.23739307222937492,0.23740717882368145,-1.4106594306534381e-05,1.4106594306534381e-05
0.02,0.3375,0.24004261373056926,0.24005798795268607,-1.537422211680961e-05,1.537422211680961e-05
0.02,0.34375,0.24263155593984925,0.24264817992263077,-1.6623982781516222e-05,1.6623982781516222e-05
0.02,0.35000000000000003,0.2451557275162392,0.24517358055404026,-1.7853037801052185e-05,1.7853037801052185e-05
0.02,0.35625,0.24761105103383957,0.2476301095837609,-1.9058549921319168e-05,1.9058549921319168e-05
0.02,0.36250000000000004,0.2499935504119552,0.2500137881052818,-2.0237693326596862e-05,2.0237693326596862e-05
0.02,0.36875,0.2522993582187998,0.2523207458827714,-2.138766397163927e-05,2.138766397163927e-05
0.02,0.375,0.254524722830275,0.254547228520276,-2.2505690001006773e-05,2.2505690001006773e-05
0.02,0.38125000000000003,0.2566660154254065,0.25668960446760736,-2.3589042200844457e-05,2.3589042200844457e-05
0.02,0.3875,0.2587197368001742,0.2587443718446036,-2.4635044429399677e-05,2.4635044429399677e-05
0.02,0.39375000000000004,0.2606825239817039,0.2607081650656746,-2.5641083970739942e-05,2.5641083970739942e-05
