time s,x m,c numerical mol m3,c reference mol m3,error signed mol m3,abs error mol m3
0.01,0.0,0.04607999999999998,0.04280046783565661,0.003279532164343374,0.003279532164343374
0.01,0.1,0.07423999999999997,0.06657457222998253,0.007665427770017441,0.007665427770017441
0.01,0.2,0.1472,0.1372233497583833,0.009976650241616702,0.009976650241616702
0.01,0.30000000000000004,0.2448,0.24195958781244215,0.0028404121875578447,0.0028404121875578447
0.01,0.4,0.32976,0.34137641632378846,-0.011616416323788459,0.011616416323788459
0.01,0.5,0.36192,0.3829316799151507,-0.021011679915150683,0.021011679915150683
0.01,0.6000000000000001,0.32976,0.34137641632378835,-0.011616416323788348,0.011616416323788348
0.01,0.7000000000000001,0.2448,0.24195958781244203,0.0028404121875579558,0.0028404121875579558
0.01,0.8,0.1472,0.13722334975838318,0.009976650241616813,0.009976650241616813
0.01,0.9,0.07423999999999997,0.06657457222998242,0.007665427770017552,0.007665427770017552
0.01,1.0,0.04607999999999998,0.0428004678356565,0.003279532164343485,0.003279532164343485
