time s,x m,c numerical mol m3,c reference mol m3,error signed mol m3,abs error mol m3
0.002,0.0,7.565563469112942e-06,7.744196727554886e-06,-1.7863325844194412e-07,1.7863325844194412e-07
0.002,0.003125,7.66326745770282e-06,7.843243115646104e-06,-1.7997565794328392e-07,1.7997565794328392e-07
0.002,0.00625,7.958425447760103e-06,8.142439401698232e-06,-1.8401395393812833e-07,1.8401395393812833e-07
0.002,0.009375000000000001,8.45720729532081e-06,8.64798869923411e-06,-1.9078140391330007e-07,1.9078140391330007e-07
0.002,0.0125,9.170002325894577e-06,9.370335643354988e-06,-2.0033331746041075e-07,2.0033331746041075e-07
0.002,0.015625,1.0111579691103949e-05,1.0324326562838326e-05,-2.1274687173437754e-07,2.1274687173437754e-07
0.002,0.018750000000000003,1.1301314883954522e-05,1.1529435726770343e-05,-2.2812084281582104e-07,2.2812084281582104e-07
0.002,0.021875000000000002,1.2763484426369084e-05,1.3010059669332774e-05,-2.465752429636898e-07,2.465752429636898e-07
0.002,0.025,1.4527631314302767e-05,1.479588216521388e-05,-2.6825085091111337e-07,2.6825085091111337e-07
0.002,0.028125,1.6629004374197164e-05,1.6922312992800892e-05,-2.9330861860372775e-07,2.9330861860372775e-07
0.002,0.03125,1.910907524844188e-05,1.9431004186581946e-05,-3.219289381400662e-07,3.219289381400662e-07
0.002,0.034375,2.2016137285269874e-05,2.237044803188315e-05,-3.5431074661327637e-07,3.5431074661327637e-07
0.002,0.037500000000000006,2.5405991158104252e-05,2.5796661604099436e-05,-3.9067044599518384e-07,3.9067044599518384e-07
0.002,0.040625,2.9342722578340286e-05,2.9773963193480135e-05,-4.312406151398492e-07,4.312406151398492e-07
0.002,0.043750000000000004,3.389957799093342e-05,3.4375846476641936e-05,-4.762684857085125e-07,4.762684857085125e-07
0.002,0.046875,3.915994465047526e-05,3.968595880426973e-05,-5.260141537944709e-07,5.260141537944709e-07
0.002,0.05,4.521844196259519e-05,4.5799190462547656e-05,-5.807484999524666e-07,5.807484999524666e-07
0.002,0.053125000000000006,5.2182131436823945e-05,5.2822882223052536e-05,-6.407507862285912e-07,6.407507862285912e-07
0.002,0.05625,6.0171853027144184e-05,6.087815892813486e-05,-7.06305900990678e-07,7.06305900990678e-07
0.002,0.059375000000000004,6.932369602930484e-05,7.010139725019404e-05,-7.777012208891982e-07,7.777012208891982e-07
0.002,0.0625,7.979061305287315e-05,8.064583611525067e-05,-8.552230623775199e-07,8.552230623775199e-07
0.002,0.065625,9.174418588352647e-05,9.268333857775923e-05,-9.391526942327587e-07,9.391526942327587e-07
0.002,0.06875,0.00010537655228914069,0.00010640631417360713,-1.0297618844664383e-06,1.0297618844664383e-06
0.002,0.07187500000000001,0.00012090250299303075,0.00012202981095452148,-1.1273079614907317e-06,1.1273079614907317e-06
0.002,0.07500000000000001,0.00013856175812981207,0.00013979378649658925,-1.2320283667771798e-06,1.2320283667771798e-06
0.002,0.078125,0.00015862143250374355,0.00015996556719075072,-1.3441346870071724e-06,1.3441346870071724e-06
0.002,0.08125,0.00018137869887549838,0.00018284250502853538,-1.4638061530370078e-06,1.4638061530370078e-06
0.002,0.084375,0.0002071636583000237,0.00020875484090376872,-1.5911826037450102e-06,1.5911826037450102e-06
0.002,0.08750000000000001,0.00023634242621404657,0.00023806878313026303,-1.726356916216461e-06,1.726356916216461e-06
0.002,0.09062500000000001,0.0002693204425151236,0.0002711898094292231,-1.8693669140995182e-06,1.8693669140995182e-06
0.002,0.09375,0.0003065460132730287,0.00030856620004413027,-2.0201867711015526e-06,2.0201867711015526e-06
0.002,0.096875,0.00034851409095681995,0.0003506928088988781,-2.178717942058158e-06,2.178717942058158e-06
0.002,0.1,0.0003957702991353587,0.00039811507879286556,-2.3447796575068393e-06,2.3447796575068393e-06
0.002,0.10312500000000001,0.00044891520650394836,0.00045143330553701344,-2.518099033065079e-06,2.518099033065079e-06
0.002,0.10625000000000001,0.0005086088537941914,0.0005113071546518078,-2.6983008576163606e-06,2.6983008576163606e-06
0.002,0.109375,0.0005755755356279766,0.0005784604327596365,-2.8848971316599572e-06,2.8848971316599572e-06
0.002,0.1125,0.000650608837670486,0.0006536861141184236,-3.077276447937551e-06,3.077276447937551e-06
0.002,0.115625,0.0007345769275132847,0.0007378516208249031,-3.2746933116183444e-06,3.2746933116183444e-06
0.002,0.11875000000000001,0.0008284280955703971,0.0008319043530882198,-3.476257517822691e-06,3.476257517822691e-06
0.002,0.12187500000000001,0.0009331965398930304,0.0009368774636068777,-3.68092371384732e-06,3.68092371384732e-06
0.002,0.125,0.001050008386199518,0.0010538958674880805,-3.8874812885625505e-06,3.8874812885625505e-06
0.002,0.12812500000000002,0.001180087931575675,0.0011841824763206277,-4.094544744952765e-06,4.094544744952765e-06
0.002,0.13125,0.001324764097229223,0.0013290646419511776,-4.300544721954659e-06,4.300544721954659e-06
0.002,0.134375,0.0014854770723852174,0.0014899807922330588,-4.503719847841377e-06,4.503719847841377e-06
0.002,0.1375,0.0016637851278956254,0.0016684872375077597,-4.702109612134348e-06,4.702109612134348e-06
0.002,0.140625,0.001861371574416812,0.0018662651228732452,-4.893548456433219e-06,4.893548456433219e-06
0.002,0.14375000000000002,0.002080051836098809,0.002085127497389372,-5.075661290562892e-06,5.075661290562892e-06
0.002,0.146875,0.0023217806066487437,0.0023270264672921037,-5.24586064336004e-06,5.24586064336004e-06
0.002,0.15000000000000002,0.0025886590504006273,0.0025940603960636632,-5.401345663035885e-06,5.401345663035885e-06
0.002,0.153125,0.0028829420066718236,0.002888481109851987,-5.53910318016335e-06,5.53910318016335e-06
0.002,0.15625,0.003207045151244278,0.003212701062288964,-5.6559110446861155e-06,5.6559110446861155e-06
0.002,0.15937500000000002,0.0035635520643114375,0.0035693004082499036,-5.748343938466113e-06,5.748343938466113e-06
0.002,0.1625,0.003955221149719631,0.003961033931581176,-5.81278186154513e-06,5.81278186154513e-06
0.002,0.16562500000000002,0.004384992345849442,0.004390837767318689,-5.845421469247505e-06,5.845421469247505e-06
0.002,0.16875,0.004855993564076451,0.004861835854502172,-5.842290425721493e-06,5.842290425721493e-06
0.002,0.171875,0.005371546786473496,0.005377346051387705,-5.799264914208534e-06,5.799264914208534e-06
0.002,0.17500000000000002,0.00593517375032394,0.005940885840745258,-5.712090421317734e-06,5.712090421317734e-06
0.002,0.178125,0.006550601143165941,0.006556177549046138,-5.576405880196832e-06,5.576405880196832e-06
0.002,0.18125000000000002,0.007221765228543083,0.007227152999770559,-5.387771227475906e-06,5.387771227475906e-06
0.002,0.184375,0.007952815819460614,0.007957957517846781,-5.141698386166779e-06,5.141698386166779e-06
0.002,0.1875,0.008748119513804506,0.008752953199455044,-4.833685650537309e-06,4.833685650537309e-06
0.002,0.19062500000000002,0.009612262103739043,0.00961672135913888,-4.459255399836756e-06,4.459255399836756e-06
0.002,0.19375,0.01055005006942436,0.010554064064446894,-4.013995022533745e-06,4.013995022533745e-06
0.002,0.19687500000000002,0.011566511066354571,0.01157000466723615,-3.4936008815791147e-06,3.4936008815791147e-06
0.002,0.2,0.012666893315274236,0.012669787240370323,-2.89392509608688e-06,2.89392509608688e-06
0.002,0.203125,0.013856663804048696,0.013858874828915124,-2.2110248664285875e-06,2.2110248664285875e-06
0.002,0.20625000000000002,0.015141505212100604,0.0151429464261085,-1.441214007896069e-06,1.441214007896069e-06
0.002,0.209375,0.016527311470135874,0.016527892586444798,-5.811163089237958e-07,5.811163089237958e-07
0.002,0.21250000000000002,0.01802018187091582,0.018019809591187097,3.7227972872130866e-07,3.7227972872130866e-07
0.002,0.215625,0.0196264136508315,0.01962499208557489,1.4215652566103298e-06,1.4215652566103298e-06
0.002,0.21875,0.021352492967035834,0.02134992411193437,2.5688551014632632e-06,2.5688551014632632e-06
0.002,0.22187500000000002,0.023205084200915674,0.023201268468891423,3.815732024251006e-06,3.815732024251006e-06
0.002,0.225,0.02519101752575653,0.025185854333904273,5.163191852258775e-06,5.163191852258775e-06
0.002,0.22812500000000002,0.027317274684573505,0.027310663094426424,6.611590147080626e-06,6.611590147080626e-06
0.002,0.23125,0.029590972933248232,0.029582812342143466,8.16059110476594e-06,8.16059110476594e-06
0.002,0.234375,0.03201934711430683,0.03200953799489975,9.809119407080957e-06,9.809119407080957e-06
0.002,0.23750000000000002,0.03460972983786767,0.03459817452211397,1.1555315753697393e-05,1.1555315753697393e-05
0.002,0.240625,0.03736952975843829,0.037356133261623736,1.3396496814553627e-05,1.3396496814553627e-05
0.002,0.24375000000000002,0.040306207949291156,0.0402908788289614,1.532912032975453e-05,1.532912032975453e-05
0.002,0.246875,0.04342725239002829,0.04340990363395103,1.7348756077256722e-05,1.7348756077256722e-05
0.002,0.25,0.04674015059757183,0.04672070053417801,1.945006339382216e-05,1.945006339382216e-05
0.002,0.253125,0.05025236044609348,0.050230733670187044,2.1626775906433138e-05,2.1626775906433138e-05
0.002,0.25625000000000003,0.05397127923721048,0.05394740754313715,2.3871694073328287e-05,2.3871694073328287e-05
0.002,0.259375,0.05790421109800684,0.05787803441192499,2.6176686081853806e-05,2.6176686081853806e-05
0.002,0.2625,0.06205833280095048,0.06202980010337611,2.8532697574371046e-05,2.8532697574371046e-05
0.002,0.265625,0.06644065811642491,0.06640972834582973,3.092977059518387e-05,3.092977059518387e-05
0.002,0.26875,0.07105800082522412,0.0710246437531658,3.3357072058315396e-05,3.3357072058315396e-05
0.002,0.27187500000000003,0.07591693653480634,0.07588113360287192,3.580293193441997e-05,3.580293193441997e-05
0.002,0.275,0.08102376345920026,0.08098550856795024,3.8254891250019685e-05,3.8254891250019685e-05
0.002,0.278125,0.08638446233802871,0.08634376257815617,4.069975987254504e-05,4.069975987254504e-05
0.002,0.28125,0.09200465568498661,0.09196153200105245,4.3123683934165324e-05,4.3123683934165324e-05
0.002,0.284375,0.09788956657010203,0.09784405434747599,4.5512222626040155e-05,4.5512222626040155e-05
0.002,0.28750000000000003,0.10404397715304836,0.10399612671908838,4.785043395998112e-05,4.785043395998112e-05
0.002,0.290625,0.11047218719648867,0.11042206422751412,5.012296897455304e-05,5.012296897455304e-05
0.002,0.29375,0.11717797279875598,0.11712565862502972,5.231417372626723e-05,5.231417372626723e-05
0.002,0.296875,0.12416454559394849,0.12411013739565292,5.440819829556631e-05,5.440819829556631e-05
0.002,0.30000000000000004,0.13143451267460077,0.13137812356269352,5.6389111907251266e-05,5.6389111907251266e-05
0.002,0.30312500000000003,0.13898983749734853,0.1389315964741842,5.824102316431823e-05,5.824102316431823e-05
0.002,0.30625,0.1468318020353191,0.14677185383103283,5.994820428625869e-05,5.994820428625869e-05
0.002,0.309375,0.1549609704422518,0.15489947522409037,6.149521816142811e-05,6.149521816142811e-05
0.002,0.3125,0.16337715449250295,0.1633142874455646,6.286704693836409e-05,6.286704693836409e-05
0.002,0.31562500000000004,0.17207938105806025,0.17201533183723208,6.404922082817177e-05,6.404922082817177e-05
0.002,0.31875000000000003,0.18106586187844403,0.18100083393270347,6.502794574056447e-05,6.502794574056447e-05
0.002,0.321875,0.19033396587189583,0.19026817564354628,6.579022834954373e-05,6.579022834954373e-05
0.002,0.325,0.19988019422656148,0.19981387022937983,6.632399718164983e-05,6.632399718164983e-05
0.002,0.328125,0.20970015849850052,0.20963354028017694,6.661821832357195e-05,6.661821832357195e-05
0.002,0.33125000000000004,0.21978856192936289,0.2197218989249773,6.666300438559758e-05,6.666300438559758e-05
0.002,0.33437500000000003,0.23013918418055318,0.23007273446515086,6.644971540231692e-05,6.644971540231692e-05
0.002,0.3375,0.24074486966276354,0.2406788986123358,6.597105042774332e-05,6.597105042774332e-05
0.002,0.340625,0.25159751962004046,0.2515322984913696,6.522112867085594e-05,6.522112867085594e-05
0.002,0.34375,0.2626880881062104,0.26262389254707996,6.419555913045327e-05,6.419555913045327e-05
0.002,0.34687500000000004,0.2740065819687112,0.27394369047090467,6.289149780652759e-05,6.289149780652759e-05
0.002,0.35000000000000003,0.28554206493085393,0.2854807572391317,6.130769172224548e-05,6.130769172224548e-05
0.002,0.353125,0.2972826658384947,0.29722322132936946,5.944450912526156e-05,5.944450912526156e-05
0.002,0.35625,0.3092155911112543,0.30915828715582194,5.730395543235289e-05,5.730395543235289e-05
0.002,0.359375,0.3213271414120257,0.32127225173739565,5.4889674630020924e-05,5.4889674630020924e-05
0.002,0.36250000000000004,0.33360273252181294,0.3335505255857655,5.220693604746085e-05,5.220693604746085e-05
0.002,0.36562500000000003,0.3460269203801934,0.34597765777359357,4.926260659982029e-05,4.926260659982029e-05
0.002,0.36875,0.35858343022515304,0.3585373651163748,4.606510877824821e-05,4.606510877824821e-05
0.002,0.371875,0.37125518973996724,0.3712125653750981,4.262436486912602e-05,4.262436486912602e-05
0.002,0.375,0.38402436608942825,0.383985414361386,3.895172804224689e-05,3.895172804224689e-05
0.002,0.37812500000000004,0.3968724067033064,0.3968373468021649,3.5059901141498706e-05,3.5059901141498706e-05
0.002,0.38125000000000003,0.4097800836417002,0.40974912079754466,3.096284415554651e-05,3.096284415554651e-05
0.002,0.384375,0.4227275413550902,0.4227008656835858,2.667567150443917e-05,2.667567150443917e-05
0.002,0.3875,0.4356943476316718,0.43567213309126546,2.221454040635118e-05,2.221454040635118e-05
0.002,0.390625,0.4486595475060615,0.44864195097436665,1.7596531694863415e-05,1.7596531694863415e-05
0.002,0.39375000000000004,0.4616017198869204,0.46158888036236184,1.2839524558549975e-05,1.2839524558549975e-05
0.002,0.39687500000000003,0.474499036646529,0.47449107457979633,7.962066732647433e-06,7.962066732647433e-06
