time s,x m,c numerical mol m3,c reference mol m3,error signed mol m3,abs error mol m3
0.02,0.0,0.12387137874706458,0.12340508120671032,0.00046629754035426574,0.00046629754035426574
0.02,0.025,0.12479021247896536,0.12432807522155473,0.0004621372574106358,0.0004621372574106358
0.02,0.05,0.1275258925229849,0.12707628787239084,0.00044960465059407095,0.00044960465059407095
0.02,0.07500000000000001,0.1320162917919589,0.1315877310916994,0.0004285607002594838,0.0004285607002594838
0.02,0.1,0.13815899529362155,0.13776016924727863,0.0003988260463429205,0.0003988260463429205
0.02,0.125,0.14581302471020477,0.14545277147773283,0.0003602532324719354,0.0003602532324719354
0.02,0.15000000000000002,0.15480130490165817,0.1544884889486074,0.00031281595305077126,0.00031281595305077126
0.02,0.17500000000000002,0.16491390974723158,0.16465720491595617,0.0002567048312754061,0.0002567048312754061
0.02,0.2,0.1759121162983418,0.17571969814979288,0.00019241814854892292,0.00019241814854892292
0.02,0.225,0.18753327644070877,0.18741244043446822,0.00012083600624054891,0.00012083600624054891
0.02,0.25,0.19949648461462555,0.19945321697305077,4.3267641574779026e-05,4.3267641574779026e-05
0.02,0.275,0.21150898038258334,0.21154751644368966,-3.853606110632013e-05,3.853606110632013e-05
0.02,0.30000000000000004,0.22327317869399138,0.22339558832713616,-0.0001224096331447766,0.0001224096331447766
0.02,0.325,0.23449417241662884,0.23470001308336896,-0.00020584066674012025,0.00020584066674012025
0.02,0.35000000000000003,0.24488750547571272,0.24517358055404026,-0.00028607507832753565,0.00028607507832753565
0.02,0.375,0.2541869752892504,0.254547228520276,-0.0003602532310256201,0.0003602532310256201
0.02,0.4,0.2621521943281259,0.26257776124685195,-0.00042556691872602803,0.00042556691872602803
0.02,0.42500000000000004,0.268575626043844,0.26905505090774484,-0.0004794248639008458,0.0004794248639008458
0.02,0.45,0.2732888124850187,0.27380842565191066,-0.0005196131668919746,0.0005196131668919746
0.02,0.47500000000000003,0.2761675306986242,0.27671196790350905,-0.00054443720488484,0.00054443720488484
0.02,0.5,0.2771356520247742,0.27768848485117037,-0.0005528328263961768,0.0005528328263961768
0.02,0.525,0.2761675306986242,0.27671196790350905,-0.00054443720488484,0.00054443720488484
0.02,0.55,0.2732888124850187,0.2738084256519106,-0.000519613166891919,0.000519613166891919
0.02,0.5750000000000001,0.268575626043844,0.2690550509077448,-0.0004794248639007903,0.0004794248639007903
0.02,0.6000000000000001,0.2621521943281259,0.2625777612468519,-0.0004255669187259725,0.0004255669187259725
0.02,0.625,0.2541869752892504,0.25454722852027595,-0.0003602532310255646,0.0003602532310255646
0.02,0.65,0.24488750547571272,0.24517358055404023,-0.0002860750783275079,0.0002860750783275079
0.02,0.675,0.23449417241662884,0.23470001308336894,-0.0002058406667400925,0.0002058406667400925
0.02,0.7000000000000001,0.2232731786939914,0.2233955883271361,-0.00012240963314469333,0.00012240963314469333
0.02,0.7250000000000001,0.21150898038258337,0.21154751644368952,-3.8536061106153596e-05,3.8536061106153596e-05
0.02,0.75,0.19949648461462557,0.1994532169730507,4.326764157486229e-05,4.326764157486229e-05
0.02,0.775,0.1875332764407088,0.18741244043446817,0.00012083600624063218,0.00012083600624063218
0.02,0.8,0.17591211629834183,0.17571969814979282,0.00019241814854900618,0.00019241814854900618
0.02,0.8250000000000001,0.1649139097472316,0.1646572049159561,0.00025670483127551713,0.00025670483127551713
0.02,0.8500000000000001,0.1548013049016582,0.15448848894860726,0.0003128159530509378,0.0003128159530509378
0.02,0.875,0.14581302471020477,0.14545277147773278,0.0003602532324719909,0.0003602532324719909
0.02,0.9,0.13815899529362158,0.13776016924727855,0.00039882604634303154,0.00039882604634303154
0.02,0.925,0.1320162917919589,0.13158773109169933,0.00042856070025956705,0.00042856070025956705
0.02,0.9500000000000001,0.12752589252298493,0.12707628787239078,0.0004496046505941542,0.0004496046505941542
0.02,0.9750000000000001,0.12479021247896539,0.12432807522155463,0.0004621372574107607,0.0004621372574107607
0.02,1.0,0.12387137874706461,0.12340508120671023,0.00046629754035437676,0.00046629754035437676
