time s,x m,c numerical mol m3,c reference mol m3,error signed mol m3,abs error mol m3
0.004,0.0,0.001549918278580118,0.0015633008220465039,-1.3382543466385977e-05,1.3382543466385977e-05
0.004,0.00625,0.0015706278745868912,0.001584022898257459,-1.3395023670567706e-05,1.3395023670567706e-05
0.004,0.0125,0.0016331100874115221,0.001646541219857689,-1.3431132446166828e-05,1.3431132446166828e-05
0.004,0.018750000000000003,0.0017384269220514876,0.0017519138027268788,-1.3486880675391173e-05,1.3486880675391173e-05
0.004,0.025,0.0018883541056001895,0.001901909747170999,-1.3555641570809447e-05,1.3555641570809447e-05
0.004,0.03125,0.0020853894910245942,0.002099017675812692,-1.3628184788097922e-05,1.3628184788097922e-05
0.004,0.037500000000000006,0.002332764474127839,0.0023464572012519835,-1.369272712414436e-05,1.369272712414436e-05
0.004,0.043750000000000004,0.002634458076396544,0.002648193078999578,-1.3735002603033637e-05,1.3735002603033637e-05
0.004,0.05,0.0029952132488362034,0.0030089516042021147,-1.3738355365911295e-05,1.3738355365911295e-05
0.004,0.05625,0.0034205548558115125,0.003434238715058102,-1.368385924658969e-05,1.368385924658969e-05
0.004,0.0625,0.003916808703972292,0.0039303591721980835,-1.3550468225791666e-05,1.3550468225791666e-05
0.004,0.06875,0.004491120890366056,0.0045044360924367255,-1.331520207066908e-05,1.331520207066908e-05
0.004,0.07500000000000001,0.005151476656802184,0.005164430028187089,-1.2953371384905044e-05,1.2953371384905044e-05
0.004,0.08125,0.00590671785561555,0.005919156701599593,-1.24388459840424e-05,1.24388459840424e-05
0.004,0.08750000000000001,0.006766558056543182,0.006778302426521499,-1.1744369978316377e-05,1.1744369978316377e-05
0.004,0.09375,0.007741594257019715,0.0077524361831992905,-1.084192617957589e-05,1.084192617957589e-05
0.004,0.1,0.008843314100522285,0.008853017251976264,-9.703151453979361e-06,9.703151453979361e-06
0.004,0.10625000000000001,0.010084097461495538,0.01009239726493183,-8.299803436291261e-06,8.299803436291261e-06
0.004,0.1125,0.011477211222806025,0.011483815500414218,-6.604277608193709e-06,6.604277608193709e-06
0.004,0.11875000000000001,0.013036796054613393,0.013041386226778584,-4.590172165190587e-06,4.590172165190587e-06
0.004,0.125,0.014777844004010169,0.014780076900382078,-2.2328963719085715e-06,2.2328963719085715e-06
0.004,0.13125,0.016716165724726482,0.01671567604101104,4.896837154412526e-07,4.896837154412526e-07
0.004,0.1375,0.018868346217457754,0.01886474964730181,3.5965701559448338e-06,3.5965701559448338e-06
0.004,0.14375000000000002,0.021251688015603096,0.021244585077068834,7.1029385342626095e-06,7.1029385342626095e-06
0.004,0.15000000000000002,0.023884140839793747,0.023873121404230285,1.10194355634613e-05,1.10194355634613e-05
0.004,0.15625,0.026784216858608816,0.026768865376337853,1.5351482270963e-05,1.5351482270963e-05
0.004,0.1625,0.02997089083298474,0.029950792235312218,2.0098597672522228e-05,2.0098597672522228e-05
0.004,0.16875,0.0334634845882227,0.033438230829112264,2.525375911043709e-05,2.525375911043709e-05
0.004,0.17500000000000002,0.03728153544985612,0.03725073263346218,3.0802816393941945e-05,3.0802816393941945e-05
0.004,0.18125000000000002,0.041444648497048285,0.04140792451957234,3.672397747594286e-05,3.672397747594286e-05
0.004,0.1875,0.04597233272811855,0.04592934534453591,4.298738358263915e-05,4.298738358263915e-05
0.004,0.19375,0.05088382149506475,0.050834266703635,4.955479142974839e-05,4.955479142974839e-05
0.004,0.2,0.05619787784471661,0.05614149846532432,5.637937939229065e-05,5.637937939229065e-05
0.004,0.20625000000000002,0.06193258569991829,0.061869180006712515,6.340569320577305e-05,6.340569320577305e-05
0.004,0.21250000000000002,0.06810512812075774,0.06803455837577432,7.056974498341473e-05,7.056974498341473e-05
0.004,0.21875,0.07473155419859621,0.07465375492157722,7.779927701899447e-05,7.779927701899447e-05
0.004,0.225,0.08182653644922709,0.08174152225016892,8.50141990581671e-05,8.50141990581671e-05
0.004,0.23125,0.08940312088016715,0.08931099367567784,9.212720448931178e-05,9.212720448931178e-05
0.004,0.23750000000000002,0.09747247220475393,0.09737342763746351,9.904456729041555e-05,9.904456729041555e-05
0.004,0.24375000000000002,0.10604361695602955,0.10593794983838158,0.00010566711764797843,0.00010566711764797843
0.004,0.25,0.11512318750985362,0.11501129611983349,0.00011189139002013015,0.00011189139002013015
0.004,0.25625000000000003,0.12471517025283516,0.12459755931968754,0.00011761093314761883,0.00011761093314761883
0.004,0.2625,0.13482066132019926,0.1346979435529593,0.00012271776723996042,0.00012271776723996042
0.004,0.26875,0.14543763347561442,0.14531052950624002,0.0001271039693744036,0.0001271039693744036
0.004,0.275,0.15656071780378042,0.15643005443959113,0.00013066336418929292,0.00013066336418929292
0.004,0.28125,0.16818100393231197,0.16804771063899757,0.0001332932933144071,0.0001332932933144071
0.004,0.28750000000000003,0.18028586248801737,0.1801509660542219,0.00013489643379546723,0.00013489643379546723
0.004,0.29375,0.19285879342083065,0.19272341078769636,0.00013538263313428445,0.00013538263313428445
0.004,0.30000000000000004,0.2058793036941997,0.20574463296763928,0.00013467072656042633,0.00013467072656042633
0.004,0.30625,0.21932281764256445,0.21919012734168702,0.00013269030087742495,0.00013269030087742495
0.004,0.3125,0.23316062303478555,0.23303123966607409,0.00012938336871146094,0.00012938336871146094
0.004,0.31875000000000003,0.2473598555583559,0.24723514964104792,0.0001247059173079823,0.0001247059173079823
0.004,0.325,0.26188352405556653,0.26176489475840803,0.00011862929715850123,0.00011862929715850123
0.004,0.33125000000000004,0.2766905784034053,0.2765794369856981,0.00011114141770718344,0.00011114141770718344
0.004,0.3375,0.2917360214389602,0.29163377371880234,0.00010224772015787753,0.00010224772015787753
0.004,0.34375,0.3069710657977861,0.30687909389687795,9.197190090814988e-05,9.197190090814988e-05
0.004,0.35000000000000003,0.3223433359614428,0.3222629795981073,8.035636333553198e-05,8.035636333553198e-05
0.004,0.35625,0.3377971152105658,0.33772965283013284,6.746238043298103e-05,6.746238043298103e-05
0.004,0.36250000000000004,0.3532736365605341,0.35322026660448647,5.3369956047655265e-05,5.3369956047655265e-05
0.004,0.36875,0.3687114161278583,0.3686732387497581,3.8177378100190396e-05,3.8177378100190396e-05
0.004,0.375,0.38404662674709245,0.38402462628408257,2.2000463009874682e-05,2.2000463009874682e-05
0.004,0.38125000000000003,0.3992135090409232,0.39920853754441604,4.971496507133466e-06,4.971496507133466e-06
0.004,0.3875,0.4141448165507144,0.4141575786687838,-1.2762118069387096e-05,1.2762118069387096e-05
0.004,0.39375000000000004,0.4287722909716654,0.42880333045881214,-3.103948714672233e-05,3.103948714672233e-05
